Report_ID	GUID	CPF_ID	Filer_CPF_ID	Report_Type_ID	Report_Type_Description	Is_Amendment	Amendment_To_Report_ID	Filing_Date	Reporting_Period	Report_Year	Start_Date	End_Date	Start_Balance	Receipts_Total	Subtotal	Expenditures_Total	End_Balance	Inkinds_Total	Receipts_Unitemized_Total	Receipts_Itemized_Total	Expenditures_Unitemized_Total	Expenditures_Itemized_Total	Inkinds_Unitemized_Total	Inkinds_Itemized_Total	Liabilities_Itemized_Total	Savings_Total	Out_Of_Pocket_Itemized_Total	Out_Of_Pocket_Unitemized_Total	Deposit_Sequence	Reimbursee	Payments_Made	Interest	Account_Name	Check_Number	OCPF_Candidate_First_Name	OCPF_Candidate_Last_Name	OCPF_Full_Name	OCPF_Depository_Bank_Name	OCPF_District_Code	OCPF_Office	OCPF_District	OCPF_Comm_Name	Payment_Date	In_Transit_Adjustment	Vendor_Name	
104654	"90548da2-4ee6-4ae8-b5d4-69b5c7bc13c3"	13623	13623	60	"Deposit Report"	False		1/1/2010	"1/1/10"	2010		1/1/2010	0.0000	308.3000	0.0000	0.0000	0.0000	0.0000	211.5000	96.8000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2000057"	""			""	""	"Kamal"	"Jain"	"Kamal Jain"	""	1114	"Constitutional"	"Auditor"	"Jain Committee"			""	
104712	"db45bc06-9dab-450d-8408-fd6061460963"	14376	14376	60	"Deposit Report"	True	104710	1/4/2010	"1/4/10"	2010		1/4/2010	0.0000	1650.0000	1650.0000	0.0000	0.0000	0.0000	0.0000	1650.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2001910"	""			""	""	"Deval L."	"Patrick"	"Deval L. Patrick"	"Citizens Bank"	1109	"Constitutional"	"Governor"	"Patrick Committee"			""	
104715	"fb8151da-777d-42fe-9378-0c676c69a44e"	14376	14376	60	"Deposit Report"	True	104713	1/4/2010	"1/4/10"	2010		1/4/2010	0.0000	1265.0000	1265.0000	0.0000	0.0000	0.0000	0.0000	1265.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2001911"	""			""	""	"Deval L."	"Patrick"	"Deval L. Patrick"	"Citizens Bank"	1109	"Constitutional"	"Governor"	"Patrick Committee"			""	
104717	"1f4c2517-1c1c-44f9-b48f-45831909492e"	14376	14376	60	"Deposit Report"	True	104716	1/4/2010	"1/4/10"	2010		1/4/2010	0.0000	2850.0000	2850.0000	0.0000	0.0000	0.0000	0.0000	2850.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2001912"	""			""	""	"Deval L."	"Patrick"	"Deval L. Patrick"	"Citizens Bank"	1109	"Constitutional"	"Governor"	"Patrick Committee"			""	
104739	"b3d05976-e7b4-439c-afa8-deb15e9643b3"	14376	14376	60	"Deposit Report"	True	104738	1/4/2010	"1/4/10"	2010		1/4/2010	0.0000	75.0000	75.0000	0.0000	0.0000	0.0000	0.0000	75.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2001913"	""			""	""	"Deval L."	"Patrick"	"Deval L. Patrick"	"Citizens Bank"	1109	"Constitutional"	"Governor"	"Patrick Committee"			""	
104741	"a0bea5c2-7819-4c5b-afcf-94f667ec5d7c"	14376	14376	60	"Deposit Report"	False		1/4/2010	"1/4/10"	2010		1/4/2010	0.0000	100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2001914"	""			""	""	"Deval L."	"Patrick"	"Deval L. Patrick"	""	1109	"Constitutional"	"Governor"	"Patrick Committee"			""	
104768	"9235e361-0e10-4921-a906-42b69462275d"	15010	15010	60	"Deposit Report"	False		1/4/2010	"1/4/10"	2010		1/4/2010	0.0000	700.0000	700.0000				0.0000	700.0000	0.0000		0.0000						"2000008"	""			""	""	"Stephen E."	"Spelman"	"Stephen E. Spelman"	"United Cooperative Bank"	607	"District Attorney"	"Hampden District - Hampden County"	"Spelman Committee"			""	
104872	"5b603627-725e-4488-aa30-64322ddf9e09"	13808	13808	60	"Deposit Report"	False		1/5/2010	"1/5/10"	2010		1/5/2010	0.0000	490.0000	0.0000	0.0000	0.0000	0.0000	190.0000	300.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2000165"	""			""	""	"Timothy J."	"Cruz"	"Timothy J. Cruz"	""	612	"District Attorney"	"Plymouth District - Plymouth County"	"Cruz Committee"			""	
104901	"63c1aabe-f6dc-4076-a42d-18c7db80faa7"	14376	14376	60	"Deposit Report"	True	104900	1/5/2010	"1/5/10"	2010		1/5/2010	0.0000	2055.0000	2055.0000	0.0000	0.0000	0.0000	0.0000	2055.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2001915"	""			""	""	"Deval L."	"Patrick"	"Deval L. Patrick"	"Citizens Bank"	1109	"Constitutional"	"Governor"	"Patrick Committee"			""	
104902	"10bf34e9-765c-4f62-9ebc-b721669d48dc"	10234	10234	60	"Deposit Report"	False		1/5/2010	"1/5/10"	2010		1/5/2010	0.0000	1250.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1250.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2000092"	""			""	""	"William R."	"Keating"	"William R. Keating"	""	611	"District Attorney"	"Norfolk District - Norfolk County"	"Keating Committee"			""	
104907	"69f2740c-e749-48ef-b505-fcde0d09dfa5"	10554	10554	60	"Deposit Report"	False		1/5/2010	"1/5/10"	2010		1/5/2010	0.0000	350.0000	0.0000	0.0000	0.0000	0.0000	0.0000	350.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2000021"	""			""	""	"Robert"	"Garvey"	"Robert Garvey"	""	508	"Sheriff"	"Hampshire County"	"Garvey Committee"			""	
104956	"bea1bcc8-a569-4cd0-a1f3-b14cdbe5f229"	14989	14989	60	"Deposit Report"	False		1/5/2010	"1/5/10"	2010		1/5/2010	0.0000	25.0000	0.0000	0.0000	0.0000	0.0000	25.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2000019"	""			""	""	"John"	"Gosselin"	"John Gosselin"	""	1106	"Governor's Council"	"District, 6th"	"Gosselin committee"			""	
104979	"488f05b3-cfa9-4477-9e84-b54627e63bc3"	14376	14376	60	"Deposit Report"	False		1/5/2010	"1/5/10"	2010		1/5/2010	0.0000	150.0000	0.0000	0.0000	0.0000	0.0000	0.0000	150.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2001916"	""			""	""	"Deval L."	"Patrick"	"Deval L. Patrick"	""	1109	"Constitutional"	"Governor"	"Patrick Committee"			""	
104994	"905da661-184d-4ff9-9dc5-ec6aa15a00dc"	14188	14188	60	"Deposit Report"	False		1/5/2010	"1/5/10"	2010		1/5/2010	0.0000	2500.0000	2500.0000				0.0000	2500.0000	0.0000		0.0000						"2000073"	""			""	""	"Joseph"	"McDonald"	"Joseph McDonald"	"Citizens Bank"	512	"Sheriff"	"Plymouth County"	"McDonald Joseph Committee"			""	
105121	"e5ad70bb-a8eb-4149-8443-ed564182d1fb"	13858	13858	60	"Deposit Report"	False		1/5/2010	"1/5/10"	2010		1/5/2010	0.0000	160.0000	0.0000	0.0000	0.0000	0.0000	0.0000	160.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000			"2000125"	""			""	""	"David E."	"Sullivan"	"David E. Sullivan"	""	606	"District Attorney"	"Northwestern District - Franklin County, Hampshire County"	"Sullivan Committee"			""	
105129	"c65c64ad-e9e1-4b43-b1c7-0683df69b82f"	11431	11431	80	"Credit Card Report"	False		1/5/2010	"11/26/09 - 12/25/09"	2010	11/26/2009	12/25/2009	0.0000	0.0000	0.0000	442.3700	0.0000	0.0000	0.0000	0.0000	310.3700	132.0000	0.0000	0.0000	0.0000	0.0000			""	""	442.3700	0.0000	"PlatPlus"	""	"Brian"	"Lees"	"Brian Lees"	""	1007	"Clerk of Courts"	"Hampden County"	"Lees Committee"			""	
